Delivery Status,Late_delivery_risk,Days for shipping (real),Days for shipment (scheduled),Shipping Mode,Order Region,Order Country,order date (DateOrders)
Late delivery,1,2,1,First Class,South America,Brasil,5/19/2015 15:34
Late delivery,1,2,1,First Class,South America,Guayana Francesa,3/3/2015 11:18
Late delivery,1,2,1,First Class,Caribbean,Cuba,4/8/2017 0:14
Late delivery,1,2,1,First Class,Caribbean,República Dominicana,3/3/2015 10:14
Late delivery,1,2,1,First Class,Central America,Panamá,4/10/2015 18:36
Late delivery,1,2,1,First Class,Central America,Nicaragua,4/27/2017 8:05
Late delivery,1,2,1,First Class,Central America,Guatemala,4/25/2015 7:11
Late delivery,1,2,1,First Class,Central America,Honduras,4/13/2015 17:43
Late delivery,1,2,1,First Class,Central America,México,1/10/2015 4:43
Late delivery,1,2,1,First Class,South America,Brasil,4/7/2015 12:07
Late delivery,1,2,1,First Class,South America,Chile,2/21/2017 11:10
Late delivery,1,2,1,First Class,South America,Brasil,4/13/2017 9:10
Late delivery,1,2,1,First Class,Caribbean,República Dominicana,3/22/2017 5:20
Late delivery,1,2,1,First Class,Central America,México,2/19/2015 23:34
Late delivery,1,2,1,First Class,South America,Brasil,4/13/2017 9:10
Late delivery,1,2,1,First Class,South America,Perú,5/17/2017 19:16
Late delivery,1,2,1,First Class,Central America,México,5/18/2015 18:12
Late delivery,1,2,1,First Class,Central America,El Salvador,4/29/2015 9:17
Late delivery,1,2,1,First Class,Central America,México,6/13/2017 1:33
Late delivery,1,2,1,First Class,Central America,Guatemala,5/2/2015 15:46
Late delivery,1,2,1,First Class,Central America,México,1/10/2015 4:43
Late delivery,1,2,1,First Class,Central America,México,3/27/2015 10:12
Late delivery,1,2,1,First Class,South America,Venezuela,3/3/2015 11:39
Late delivery,1,2,1,First Class,South America,Brasil,5/21/2015 4:21
Late delivery,1,2,1,First Class,Caribbean,Cuba,1/15/2015 19:35
Late delivery,1,2,1,First Class,Caribbean,República Dominicana,5/6/2015 1:45
Late delivery,1,2,1,First Class,Central America,México,4/25/2015 2:38
Late delivery,1,2,1,First Class,Central America,El Salvador,2/12/2015 17:06
Late delivery,1,2,1,First Class,Central America,México,2/14/2017 19:03
Late delivery,1,2,1,First Class,Central America,El Salvador,4/29/2015 9:17
Late delivery,1,2,1,First Class,South America,Brasil,3/23/2015 23:11
Late delivery,1,2,1,First Class,South America,Brasil,6/12/2017 8:02
Late delivery,1,2,1,First Class,Caribbean,República Dominicana,5/6/2015 1:45
Late delivery,1,2,1,First Class,South America,Colombia,1/16/2015 13:07
Late delivery,1,2,1,First Class,South America,Colombia,1/2/2015 17:41
Late delivery,1,2,1,First Class,Caribbean,Cuba,3/4/2017 10:37
Late delivery,1,2,1,First Class,Central America,México,3/13/2017 6:56
Late delivery,1,2,1,First Class,Central America,Honduras,1/7/2015 6:17
Late delivery,1,2,1,First Class,Central America,México,3/20/2017 18:18
Late delivery,1,2,1,First Class,Central America,El Salvador,3/10/2017 13:04
Late delivery,1,2,1,First Class,Central America,México,2/3/2017 23:48
Late delivery,1,2,1,First Class,Central America,Nicaragua,5/21/2017 10:31
Late delivery,1,2,1,First Class,Central America,México,5/29/2017 15:24
Late delivery,1,2,1,First Class,Central America,Honduras,1/7/2015 6:17
Late delivery,1,2,1,First Class,Central America,Honduras,4/14/2015 10:11
Late delivery,1,2,1,First Class,Central America,Guatemala,3/28/2015 1:37
Late delivery,1,2,1,First Class,South America,Venezuela,3/30/2015 17:23
Late delivery,1,2,1,First Class,Caribbean,República Dominicana,2/24/2017 16:35
Late delivery,1,2,1,First Class,Central America,México,5/27/2017 1:45
Late delivery,1,2,1,First Class,Central America,Nicaragua,2/18/2017 18:42
Late delivery,1,2,1,First Class,Central America,México,5/22/2015 8:23
Late delivery,1,2,1,First Class,Central America,México,4/29/2015 2:38
Late delivery,1,2,1,First Class,Central America,México,2/5/2015 18:20
Late delivery,1,2,1,First Class,Central America,Guatemala,2/23/2017 6:15
Late delivery,1,2,1,First Class,Central America,Nicaragua,2/18/2017 18:42
Late delivery,1,2,1,First Class,Central America,México,4/15/2015 16:40
Late delivery,1,2,1,First Class,Central America,Nicaragua,2/18/2017 18:42
Late delivery,1,2,1,First Class,Central America,El Salvador,1/27/2017 19:47
Late delivery,1,2,1,First Class,Central America,México,1/19/2017 13:08
Late delivery,1,2,1,First Class,Central America,Panamá,1/16/2015 11:00
Late delivery,1,2,1,First Class,Central America,México,4/23/2017 10:33
Late delivery,1,2,1,First Class,South America,Ecuador,3/4/2015 23:23
Late delivery,1,2,1,First Class,South America,Perú,1/25/2015 11:52
Late delivery,1,2,1,First Class,Oceania,Australia,12/30/2015 19:17
Late delivery,1,2,1,First Class,Oceania,Australia,12/26/2015 10:32
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,2/22/2016 9:45
Late delivery,1,2,1,First Class,Southeast Asia,Myanmar (Birmania),12/2/2015 23:10
Late delivery,1,2,1,First Class,West Asia,Israel,10/29/2016 5:53
Late delivery,1,2,1,First Class,Oceania,Australia,12/30/2015 19:17
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/2/2015 22:31
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,2/4/2016 15:43
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,2/4/2016 15:43
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,2/4/2016 15:43
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,2/22/2016 10:27
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,2/4/2016 15:43
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/2/2015 22:31
Late delivery,1,2,1,First Class,Oceania,Australia,11/27/2015 21:36
Late delivery,1,2,1,First Class,Southeast Asia,Myanmar (Birmania),12/2/2015 23:10
Late delivery,1,2,1,First Class,Oceania,Australia,12/30/2015 19:17
Late delivery,1,2,1,First Class,South Asia,Irán,9/9/2016 9:28
Late delivery,1,2,1,First Class,Southeast Asia,Camboya,1/18/2018 22:47
Late delivery,1,2,1,First Class,South Asia,India,1/4/2018 22:06
Late delivery,1,2,1,First Class,Southeast Asia,Myanmar (Birmania),12/24/2017 21:36
Late delivery,1,2,1,First Class,Southeast Asia,Tailandia,12/25/2017 20:43
Late delivery,1,2,1,First Class,Oceania,Australia,12/23/2017 11:37
Late delivery,1,2,1,First Class,Southeast Asia,Tailandia,12/1/2017 9:53
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/7/2018 12:49
Late delivery,1,2,1,First Class,Southeast Asia,Tailandia,12/2/2017 13:13
Late delivery,1,2,1,First Class,Oceania,Australia,12/2/2017 12:52
Late delivery,1,2,1,First Class,Eastern Asia,China,12/1/2017 23:54
Late delivery,1,2,1,First Class,Southeast Asia,Myanmar (Birmania),1/9/2018 5:27
Late delivery,1,2,1,First Class,Eastern Asia,Corea del Sur,11/19/2017 23:13
Late delivery,1,2,1,First Class,Southeast Asia,Tailandia,11/19/2017 18:40
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/3/2018 14:34
Late delivery,1,2,1,First Class,Eastern Asia,Corea del Sur,11/19/2017 23:34
Late delivery,1,2,1,First Class,Southeast Asia,Myanmar (Birmania),11/18/2017 22:21
Late delivery,1,2,1,First Class,Oceania,Australia,12/2/2015 8:27
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/23/2016 17:04
Late delivery,1,2,1,First Class,Eastern Asia,China,10/30/2015 3:46
Late delivery,1,2,1,First Class,Oceania,Australia,1/14/2016 19:47
Late delivery,1,2,1,First Class,West Asia,Turquía,10/2/2016 17:40
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,10/2/2016 2:15
Late delivery,1,2,1,First Class,Oceania,Australia,11/6/2015 22:09
Late delivery,1,2,1,First Class,Oceania,Australia,11/6/2015 22:09
Late delivery,1,2,1,First Class,Oceania,Australia,12/30/2017 0:34
Late delivery,1,2,1,First Class,Oceania,Australia,1/31/2018 21:53
Late delivery,1,2,1,First Class,Eastern Asia,China,3/10/2016 18:39
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/3/2015 5:31
Late delivery,1,2,1,First Class,West Asia,Irak,9/13/2016 9:27
Late delivery,1,2,1,First Class,South Asia,India,2/25/2016 2:33
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/7/2015 17:47
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,12/16/2015 16:51
Late delivery,1,2,1,First Class,Eastern Asia,Japón,11/8/2015 6:02
Late delivery,1,2,1,First Class,Oceania,Australia,1/4/2016 19:27
Late delivery,1,2,1,First Class,Oceania,Australia,12/30/2015 22:26
Late delivery,1,2,1,First Class,South Asia,India,2/19/2016 22:11
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/24/2016 16:58
Late delivery,1,2,1,First Class,Eastern Asia,China,2/6/2016 22:02
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,12/18/2017 14:57
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/24/2016 16:58
Late delivery,1,2,1,First Class,Eastern Asia,China,1/24/2016 14:31
Late delivery,1,2,1,First Class,Eastern Asia,China,12/26/2015 7:43
Late delivery,1,2,1,First Class,Oceania,Australia,1/5/2016 17:10
Late delivery,1,2,1,First Class,Oceania,Australia,3/28/2016 1:28
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,12/30/2015 21:02
Late delivery,1,2,1,First Class,Eastern Asia,China,1/24/2016 14:31
Late delivery,1,2,1,First Class,Eastern Asia,China,12/12/2017 0:56
Late delivery,1,2,1,First Class,South Asia,India,11/8/2015 3:56
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,2/17/2016 23:56
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,11/23/2016 12:20
Late delivery,1,2,1,First Class,Eastern Asia,Hong Kong,11/18/2015 23:11
Late delivery,1,2,1,First Class,South Asia,Pakistán,12/12/2015 8:06
Late delivery,1,2,1,First Class,Southeast Asia,Tailandia,1/6/2016 7:32
Late delivery,1,2,1,First Class,Oceania,Australia,12/27/2017 13:00
Late delivery,1,2,1,First Class,Oceania,Australia,3/14/2016 19:21
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/27/2016 22:19
Late delivery,1,2,1,First Class,Southeast Asia,Tailandia,1/6/2016 7:32
Late delivery,1,2,1,First Class,Oceania,Australia,11/22/2017 16:23
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/27/2016 22:19
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,11/25/2015 15:18
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,3/6/2016 10:15
Late delivery,1,2,1,First Class,West Asia,Turquía,10/13/2016 10:49
Late delivery,1,2,1,First Class,South Asia,India,10/29/2015 3:36
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,3/6/2016 9:54
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,11/25/2015 15:18
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/27/2018 13:29
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,9/20/2016 23:59
Late delivery,1,2,1,First Class,West Asia,Turquía,10/15/2016 20:58
Late delivery,1,2,1,First Class,South Asia,India,3/9/2016 19:32
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/12/2015 16:33
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,9/20/2016 23:38
Late delivery,1,2,1,First Class,Eastern Asia,China,3/14/2016 6:02
Late delivery,1,2,1,First Class,Eastern Asia,China,1/3/2016 4:12
Late delivery,1,2,1,First Class,Oceania,Australia,12/23/2015 14:34
Late delivery,1,2,1,First Class,Southeast Asia,Vietnam,12/15/2015 6:31
Late delivery,1,2,1,First Class,Eastern Asia,China,1/3/2016 4:12
Late delivery,1,2,1,First Class,Oceania,Australia,12/23/2015 14:34
Late delivery,1,2,1,First Class,South Asia,India,10/29/2015 3:36
Late delivery,1,2,1,First Class,West Asia,Turquía,9/18/2016 19:26
Late delivery,1,2,1,First Class,Central Asia,Kazajistán,11/6/2016 14:17
Late delivery,1,2,1,First Class,Southeast Asia,Vietnam,1/28/2018 19:37
Late delivery,1,2,1,First Class,West Asia,Turquía,9/23/2016 8:45
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/23/2016 13:54
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/18/2016 11:59
Late delivery,1,2,1,First Class,Oceania,Australia,12/15/2017 7:46
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,1/30/2018 21:43
Late delivery,1,2,1,First Class,South Asia,India,11/15/2015 8:39
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,12/27/2017 22:28
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,12/11/2017 21:05
Late delivery,1,2,1,First Class,Oceania,Australia,3/28/2016 1:28
Late delivery,1,2,1,First Class,Oceania,Australia,3/12/2016 13:24
Late delivery,1,2,1,First Class,Southeast Asia,Vietnam,2/20/2016 12:54
Late delivery,1,2,1,First Class,South Asia,India,2/1/2016 12:03
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/24/2016 16:16
Late delivery,1,2,1,First Class,South Asia,India,2/19/2016 22:11
Late delivery,1,2,1,First Class,West Asia,Turquía,10/15/2016 10:28
Late delivery,1,2,1,First Class,Eastern Asia,China,12/4/2015 8:27
Late delivery,1,2,1,First Class,Oceania,Australia,11/9/2015 7:37
Late delivery,1,2,1,First Class,West Asia,Turquía,10/15/2016 10:28
Late delivery,1,2,1,First Class,Oceania,Australia,3/12/2016 13:24
Late delivery,1,2,1,First Class,South Asia,Bangladés,1/24/2016 18:22
Late delivery,1,2,1,First Class,South Asia,Pakistán,12/29/2015 2:17
Late delivery,1,2,1,First Class,West Asia,Turquía,10/2/2016 17:40
Late delivery,1,2,1,First Class,Eastern Asia,China,11/13/2017 21:07
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/13/2017 20:46
Late delivery,1,2,1,First Class,Oceania,Australia,11/17/2017 0:06
Late delivery,1,2,1,First Class,Oceania,Australia,11/14/2017 1:41
Late delivery,1,2,1,First Class,Oceania,Australia,11/14/2017 20:36
Late delivery,1,2,1,First Class,Oceania,Australia,3/30/2016 18:17
Late delivery,1,2,1,First Class,Oceania,Australia,1/4/2016 19:27
Late delivery,1,2,1,First Class,South Asia,India,1/3/2016 14:43
Late delivery,1,2,1,First Class,West Asia,Turquía,10/13/2016 10:49
Late delivery,1,2,1,First Class,Eastern Asia,China,1/7/2016 20:40
Late delivery,1,2,1,First Class,Oceania,Australia,1/10/2016 8:14
Late delivery,1,2,1,First Class,South Asia,Bangladés,10/29/2015 5:42
Late delivery,1,2,1,First Class,West Asia,Irak,9/13/2016 9:27
Late delivery,1,2,1,First Class,Eastern Asia,China,12/25/2015 12:27
Late delivery,1,2,1,First Class,Eastern Asia,China,1/3/2016 4:12
Late delivery,1,2,1,First Class,South Asia,Pakistán,2/7/2016 14:30
Late delivery,1,2,1,First Class,South Asia,Pakistán,12/20/2015 12:59
Late delivery,1,2,1,First Class,Eastern Asia,China,2/22/2016 8:21
Late delivery,1,2,1,First Class,Eastern Asia,China,12/25/2015 12:27
Late delivery,1,2,1,First Class,Oceania,Australia,1/5/2016 17:10
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,3/16/2016 23:12
Late delivery,1,2,1,First Class,Eastern Asia,China,12/25/2015 12:27
Late delivery,1,2,1,First Class,South Asia,India,1/8/2016 0:52
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,3/6/2016 10:15
Late delivery,1,2,1,First Class,Oceania,Australia,2/12/2016 4:09
Late delivery,1,2,1,First Class,South Asia,India,11/9/2015 16:43
Late delivery,1,2,1,First Class,South Asia,India,12/3/2015 18:26
Late delivery,1,2,1,First Class,South Asia,India,12/22/2015 18:14
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,3/6/2016 10:15
Late delivery,1,2,1,First Class,Oceania,Australia,12/23/2015 14:34
Late delivery,1,2,1,First Class,South Asia,Bangladés,10/29/2015 5:42
Late delivery,1,2,1,First Class,Southeast Asia,Filipinas,3/6/2016 9:54
Late delivery,1,2,1,First Class,South Asia,Bangladés,10/29/2015 5:42
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,9/20/2016 23:59
Late delivery,1,2,1,First Class,Eastern Asia,Japón,1/18/2016 16:37
Late delivery,1,2,1,First Class,Eastern Asia,China,1/7/2016 20:40
Late delivery,1,2,1,First Class,Southeast Asia,Camboya,11/4/2015 5:42
Late delivery,1,2,1,First Class,West Asia,Turquía,9/1/2016 12:38
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,10/2/2016 2:15
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/23/2016 18:49
Late delivery,1,2,1,First Class,Southeast Asia,Camboya,11/4/2015 5:42
Late delivery,1,2,1,First Class,West Asia,Arabia Saudí,1/7/2017 5:06
Late delivery,1,2,1,First Class,Eastern Asia,Corea del Sur,12/16/2015 2:29
Late delivery,1,2,1,First Class,Eastern Asia,Corea del Sur,12/16/2015 2:29
Late delivery,1,2,1,First Class,Oceania,Australia,12/26/2015 22:05
Late delivery,1,2,1,First Class,Oceania,Australia,1/14/2016 19:47
Late delivery,1,2,1,First Class,Eastern Asia,Corea del Sur,12/16/2015 2:29
Late delivery,1,2,1,First Class,Oceania,Australia,12/12/2015 7:24
Late delivery,1,2,1,First Class,Oceania,Australia,12/26/2015 22:05
Late delivery,1,2,1,First Class,Eastern Asia,Corea del Sur,12/16/2015 2:29
Late delivery,1,2,1,First Class,West Asia,Turquía,9/23/2016 8:45
Late delivery,1,2,1,First Class,South Asia,India,11/15/2015 8:39
Late delivery,1,2,1,First Class,South Asia,India,11/9/2015 16:43
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,1/21/2016 1:44
Late delivery,1,2,1,First Class,Oceania,Nueva Zelanda,3/27/2016 22:19
Late delivery,1,2,1,First Class,Oceania,Australia,12/23/2015 14:34
Late delivery,1,2,1,First Class,South Asia,India,11/9/2015 16:43
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/5/2015 20:35
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/24/2016 16:58
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,12/7/2015 7:13
Late delivery,1,2,1,First Class,Eastern Asia,China,3/14/2016 6:02
Late delivery,1,2,1,First Class,Oceania,Australia,2/14/2016 16:46
Late delivery,1,2,1,First Class,Oceania,Australia,12/30/2015 18:35
Late delivery,1,2,1,First Class,Oceania,Australia,12/16/2017 8:59
Late delivery,1,2,1,First Class,South Asia,Pakistán,11/26/2017 0:37
Late delivery,1,2,1,First Class,Eastern Asia,China,1/4/2018 18:15
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,11/12/2017 13:36
Late delivery,1,2,1,First Class,Eastern Asia,China,1/21/2018 19:06
Late delivery,1,2,1,First Class,Southeast Asia,Malasia,1/6/2018 1:05
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/17/2018 14:12
Late delivery,1,2,1,First Class,South Asia,India,1/4/2018 22:27
Late delivery,1,2,1,First Class,Oceania,Australia,11/26/2017 15:41
Late delivery,1,2,1,First Class,Southeast Asia,Indonesia,1/6/2018 16:51
Late delivery,1,2,1,First Class,Oceania,Australia,1/20/2018 19:59
Late delivery,1,2,1,First Class,South Asia,Pakistán,1/19/2018 12:27
Late delivery,1,2,1,First Class,Eastern Asia,China,11/25/2017 18:39
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/28/2016 7:59
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/28/2016 7:59
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/18/2016 21:53
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/18/2016 21:53
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/31/2016 2:25
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,6/5/2016 13:06
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/31/2016 2:25
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/28/2016 7:59
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,7/1/2016 9:55
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,8/20/2016 19:18
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/9/2016 1:45
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,7/4/2016 6:14
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,4/18/2016 17:01
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,5/1/2016 5:37
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,5/12/2016 21:54
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/30/2016 14:33
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,6/23/2016 16:14
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,7/1/2016 9:55
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,4/18/2016 15:37
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/7/2016 22:33
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,5/1/2016 5:37
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/26/2016 6:09
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/7/2016 16:10
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/30/2016 2:41
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,7/1/2016 9:55
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,8/20/2016 19:18
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/7/2016 22:33
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,5/9/2016 12:16
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/30/2016 2:41
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/9/2016 15:12
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,8/22/2016 0:44
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,6/23/2016 16:14
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,7/28/2016 17:45
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/9/2016 1:45
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,7/29/2016 21:26
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,7/29/2016 18:38
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/30/2016 20:07
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,4/30/2016 1:14
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/18/2016 22:35
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/17/2016 15:17
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/18/2016 22:35
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,4/18/2016 4:46
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/6/2016 17:29
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,7/10/2016 0:58
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/3/2016 10:34
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/3/2016 4:36
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,7/11/2016 12:21
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,7/19/2016 22:30
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,5/29/2016 4:53
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/3/2016 8:54
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,8/21/2016 0:33
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/2/2016 10:47
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,5/16/2016 15:56
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/25/2016 2:18
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,7/29/2016 10:55
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/24/2016 6:20
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/9/2016 15:12
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/30/2016 14:33
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/17/2016 15:17
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/11/2016 16:28
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/11/2016 9:20
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/20/2016 14:32
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,7/15/2016 15:09
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/12/2016 8:22
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/30/2016 2:41
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/18/2016 14:45
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/19/2016 22:09
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/9/2016 23:49
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,4/18/2016 17:01
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,7/9/2016 13:24
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/3/2016 10:34
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,8/21/2016 0:33
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/3/2016 8:54
Late delivery,1,2,1,First Class,Canada,Canada,11/7/2016 20:04
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/11/2016 16:28
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/30/2016 20:07
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,6/28/2016 12:12
Late delivery,1,2,1,First Class,South of  USA ,Estados Unidos,6/5/2016 12:45
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/17/2016 15:17
Late delivery,1,2,1,First Class,East of USA,Estados Unidos,4/3/2016 14:25
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,7/29/2016 10:55
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,8/17/2016 15:17
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/1/2016 23:37
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,6/3/2016 8:54
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,5/30/2016 15:13
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,5/28/2016 6:06
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,5/18/2016 22:14
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/3/2016 4:36
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,5/31/2016 9:05
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,4/7/2016 16:10
Late delivery,1,2,1,First Class,US Center ,Estados Unidos,7/19/2016 22:30
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/19/2016 22:09
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,6/9/2016 14:30
Late delivery,1,2,1,First Class,West of USA ,Estados Unidos,7/15/2016 21:48
Late delivery,1,2,1,First Class,Southern Africa,SudAfrica,12/15/2016 3:33
Late delivery,1,2,1,First Class,East Africa,Kenia,12/18/2016 9:19
Late delivery,1,2,1,First Class,Central Africa,República Democrática del Congo,10/23/2016 5:33
Late delivery,1,2,1,First Class,Southern Africa,SudAfrica,12/28/2016 3:00
Late delivery,1,2,1,First Class,Central Africa,República Democrática del Congo,10/23/2016 5:33
Late delivery,1,2,1,First Class,Central Africa,República Democrática del Congo,9/25/2016 20:39
Late delivery,1,2,1,First Class,Southern Africa,SudAfrica,9/11/2016 7:43
Late delivery,1,2,1,First Class,West Africa,Nigeria,12/10/2016 5:08
Late delivery,1,2,1,First Class,Southern Europe,España,6/20/2017 22:44
